,用户编号,总缴费次数,总缴费金额（元）,平均缴费次数(年),平均缴费金额（元）,用户类型,预测用户类型,高价值用户概率
0,1000000001,8,987,7.920792079207921,977.2277227722773,高价值用户,高价值用户,0.9999994019564665
1,1000000002,7,490,6.930693069306932,485.1485148514851,大众型用户,大众型用户,0.09442221392927333
2,1000000003,7,1180,6.930693069306932,1168.3168316831684,高价值用户,高价值用户,1.0
3,1000000004,8,621,8.0,621.0,大众型用户,大众型用户,0.03595999058299845
4,1000000005,7,1500,6.930693069306932,1485.148514851485,高价值用户,高价值用户,1.0
5,1000000006,7,1010,6.930693069306932,1000.0,高价值用户,高价值用户,0.9999994037364922
6,1000000007,7,1106,6.930693069306932,1095.049504950495,高价值用户,高价值用户,0.9999999999997442
7,1000000008,7,1074,6.930693069306932,1063.3663366336634,高价值用户,高价值用户,0.9999999999388258
8,1000000009,7,970,6.930693069306932,960.3960396039604,高价值用户,高价值用户,0.9999438140490037
9,1000000010,8,773,7.920792079207921,765.3465346534654,高价值用户,高价值用户,0.9193335811503945
10,1000000011,7,748,7.0,748.0,高价值用户,高价值用户,0.5112764203117866
11,1000000012,7,911,7.0,911.0,高价值用户,高价值用户,0.9942638527765166
12,1000000013,7,835,7.0,835.0,高价值用户,高价值用户,0.8108683699271398
13,1000000014,7,749,7.0,749.0,高价值用户,高价值用户,0.5213276843230088
14,1000000015,7,700,7.0,700.0,大众型用户,大众型用户,0.093340906091011
15,1000000016,8,784,8.0,784.0,高价值用户,高价值用户,0.9577659114136151
16,1000000017,7,780,7.0,780.0,高价值用户,高价值用户,0.6720465328245941
17,1000000018,7,641,7.0,641.0,大众型用户,大众型用户,0.015906947806373334
18,1000000019,6,729,6.0,729.0,潜力型用户,潜力型用户,0.34882189925673146
19,1000000020,7,899,6.930693069306932,890.09900990099,高价值用户,高价值用户,0.981678480246939
20,1000000021,7,757,6.930693069306932,749.5049504950495,高价值用户,高价值用户,0.5368045537729497
21,1000000022,6,534,5.9405940594059405,528.7128712871287,低价值用户,低价值用户,0.000579525612955663
22,1000000023,5,493,4.950495049504951,488.1188118811882,低价值用户,低价值用户,0.00032049320548654714
23,1000000024,7,904,6.930693069306932,895.049504950495,高价值用户,高价值用户,0.9865504765870795
24,1000000025,7,651,6.930693069306932,644.5544554455447,大众型用户,大众型用户,0.017550271643557564
25,1000000026,7,777,6.930693069306932,769.3069306930693,高价值用户,高价值用户,0.6300292402806934
26,1000000027,7,631,6.930693069306932,624.7524752475247,大众型用户,大众型用户,0.012568005582129668
27,1000000028,6,571,6.0,571.0,低价值用户,低价值用户,0.0011072886837940913
28,1000000029,7,691,6.930693069306932,684.1584158415842,大众型用户,大众型用户,0.05568357266427288
29,1000000030,7,671,6.930693069306932,664.3564356435644,大众型用户,大众型用户,0.028917343891901478
30,1000000031,7,655,6.930693069306932,648.5148514851485,大众型用户,大众型用户,0.01914129750226605
31,1000000032,6,519,7.0588235294117645,610.5882352941177,大众型用户,大众型用户,0.039651056826393194
32,1000000033,6,545,5.9405940594059405,539.6039603960396,低价值用户,低价值用户,0.0005954815838647935
33,1000000034,7,721,7.0,721.0,大众型用户,大众型用户,0.21897465553474246
34,1000000035,7,769,7.0,769.0,高价值用户,高价值用户,0.6486316004870885
35,1000000036,6,645,6.9767441860465125,750.0,高价值用户,大众型用户,0.3687631252929862
36,1000000037,7,627,7.0,627.0,大众型用户,大众型用户,0.012843712349629437
37,1000000038,6,534,6.0,534.0,低价值用户,低价值用户,0.0007038501818494567
38,1000000039,7,750,6.7961165048543695,728.1553398058252,潜力型用户,大众型用户,0.3683246948912474
39,1000000040,7,656,7.0,656.0,大众型用户,大众型用户,0.02192863053500667
40,1000000041,6,683,7.317073170731707,832.9268292682927,高价值用户,高价值用户,0.965572020964035
41,1000000042,7,612,7.0,612.0,大众型用户,大众型用户,0.011199784897269477
42,1000000043,7,640,7.0,640.0,大众型用户,大众型用户,0.015622642791443602
43,1000000044,6,601,6.0,601.0,低价值用户,低价值用户,0.0029003679505453803
44,1000000045,7,711,7.0,711.0,大众型用户,大众型用户,0.1459590134377932
45,1000000046,6,711,6.0,711.0,低价值用户,大众型用户,0.2655858684104411
46,1000000047,7,654,6.930693069306932,647.5247524752475,大众型用户,大众型用户,0.018718880065405646
47,1000000048,6,678,5.9405940594059405,671.2871287128712,低价值用户,大众型用户,0.07477007832262059
48,1000000049,7,589,6.930693069306932,583.1683168316831,大众型用户,大众型用户,0.010681436978735115
49,1000000050,7,568,6.930693069306932,562.3762376237623,大众型用户,大众型用户,0.012791428991795372
50,1000000051,6,597,7.0588235294117645,702.3529411764706,大众型用户,大众型用户,0.10007730336142638
